類別,名稱,地址,經度座標,緯度座標,裝置容量-瓩,行政區
學校,臺北市西園國民小學,108臺北市萬華區東園街73巷65號,121.4983,25.02711,186.0,萬華區
學校,臺北市新湖國民小學,114臺北市內湖區民權東路6段138號,121.5885,25.06823,198.24,內湖區
學校,臺北市中正國民中學,100臺北市中正區愛國東路158號,121.522,25.03236,202.74,中正區
學校,臺北市桃源國民小學,112臺北市北投區中央北路3段40巷45號,121.4845,25.1397,212.4,北投區
學校,臺北市敦化國民中學,105臺北市松山區南京東路3段300號,121.5467,25.05157,226.56,松山區
學校,臺北市辛亥國民小學,116臺北市文山區辛亥路4段103號,121.5592,25.00643,234.24,文山區
學校,臺北市文湖國民小學,114臺北市內湖區文湖街15號,121.5601,25.08574,240.72,內湖區
學校,臺北市西湖國民中學,114臺北市內湖區環山路1段27號,121.5658,25.08518,240.72,內湖區
學校,臺北市成德國民中學,115臺北市南港區東新街108巷23號,121.5877,25.04502,252.96,南港區
學校,臺北市大安國民小學,106臺北市大安區臥龍街129號,121.5504,25.01893,254.88,大安區
學校,臺北市大理高級中學,108臺北市萬華區長順街2號,121.4912,25.03086,254.88,萬華區
學校,臺北市蘭雅國民小學,111臺北市士林區磺溪街57號,121.5231,25.10842,254.88,士林區
學校,臺北市三民國民中學,114臺北市內湖區民權東路6段45號,121.5864,25.06915,254.88,內湖區
學校,臺北市西松高級中學,105臺北市松山區健康路325巷7號,121.5671,25.05555,261.96,松山區
學校,臺北市啟明學校,111臺北市士林區忠誠路2段207巷1號,121.535,25.1167,290.16,士林區
學校,臺北市松山高級中學,110臺北市信義區基隆路1段156號,121.5654,25.0435,297.36,信義區
學校,臺北市萬華國民中學,108臺北市萬華區西藏路201號,121.4988,25.02911,300.12,萬華區
學校,臺北市天母國民中學,111臺北市士林區天母東路120號,121.5382,25.11807,424.8,士林區
學校,臺北市大同高級中學,104臺北市中山區長春路167號,121.5353,25.05502,446.52,中山區
學校,臺北市內湖高級工業職業學校,114臺北市內湖區內湖路1段520號,121.5753,25.07942,481.44,內湖區
學校,臺北市百齡高級中學,111臺北市士林區承德路4段177號,121.523,25.08706,498.96,士林區
學校,臺北市立關渡國民中學,112臺北市北投區知行路212號,121.4676223,25.1197183,19.845,北投區
學校,臺北市太平國民小學,103台北市大同區延平北路二段239號,121.5114,25.06138,54.6,大同區
