dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
士林區,綜合零售賣場,全家便利商店臺北市天強店,臺北市士林區中山北路六段238號,121.525447,25.108951,全家便利商店股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,全家便利商店臺北市榮富店,臺北市士林區中山北路六段726號,121.527969,25.115071,全家便利商店股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市齊德門市,臺北市士林區天母西路39-1號,121.527399,25.118627,統一超商股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市上饌門市,臺北市士林區基河路125號,121.523791,25.088398,統一超商股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,統一超商臺北市豐基門市,臺北市士林區基河路368-370號,121.518465,25.094757,統一超商股份有限公司,1,0,1,0,0,0,0
士林區,綜合零售賣場,大葉高島屋百貨,臺北市士林區忠誠路二段55號,121.531342,25.111735,大葉高島屋百貨股份有限公司,23,23,0,0,0,0,19
士林區,綜合零售賣場,特力屋士林購物中心,臺北市士林區基河路258號,121.520569,25.092177,特力屋股份有限公司,5,2,3,0,0,1,1
士林區,綜合零售賣場,遠東SOGO 台北天母店,臺北市士林區中山北路六段77號,121.524523,25.104687,太平洋崇光百貨股份有限公司遠東SOGO 台北天母店,19,19,0,0,0,2,1
士林區,綜合零售賣場,新光三越台北天母店,臺北市士林區天母東路68號,121.533924,25.117950,新光三越百貨股份有限公司臺北天母店,19,19,0,0,0,0,2
士林區,綜合零售賣場,特力和樂士林店,臺北市士林區基河路258號地下一樓,121.520569,25.092177,特力屋股份有限公司,3,1,2,0,0,0,2
士林區,綜合零售賣場,家樂福天母店,臺北市士林區德行西路47號,121.522509,25.105293,家福股份有限公司台北天母分公司,7,0,7,0,0,1,0
士林區,宗教,天母三玉宮,臺北市士林區天母東路6號,121.531360,25.118265,天母三玉宮,1,0,1,0,0,0,0
士林區,宗教,神農宮,臺北市士林區前街74號,121.526158,25.097958,財團法人台北市士林神農宮,0,0,0,0,0,0,0
士林區,機關,士林監理站,臺北市士林區承德路五段80號,121.514330,25.094158,交通部公路總局臺北市區監理所士林監理站,13,10,3,0,0,1,0
士林區,機關,國稅局士林稽徵所,臺北市士林區美崙街43號,121.522926,25.097099,財政部臺北國稅局士林稽徵所,2,0,2,0,0,0,0
士林區,機關,臺北市稅捐稽徵處士林分處,臺北市士林區美崙街41號,121.522901,25.097098,臺北市稅捐稽徵處士林分處,3,0,3,0,0,0,0
士林區,機關,士林區公所,臺北市士林區中正路439號,121.519670,25.092808,臺北市士林區公所,18,18,0,0,0,11,0
士林區,機關,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,121.532946,25.123421,臺北市立圖書館天母分館,6,6,0,0,0,2,0
士林區,機關,士林地政事務所,臺北市士林區中正路439號5樓,121.519670,25.092808,臺北市士林地政事務所,11,10,1,0,0,2,2
士林區,機關,士林區健康服務中心,臺北市士林區中正路439號2樓,121.519670,25.092808,臺北市士林區健康服務中心,4,1,3,0,0,1,0
士林區,機關,士林區戶政事務所,臺北市士林區中正路439號3樓,121.519670,25.092808,臺北市士林區戶政事務所,10,10,0,0,0,2,1
士林區,機關,臺北自來水事業處陽明營業處,臺北市士林區中山北路五段82號之1,121.526036,25.083950,臺北自來水事業處陽明營業分處,4,4,0,0,0,0,0
士林區,機關,救國團劍潭海外青年活動中心,臺北市士林區中山北路四段16號,121.524038,25.078221,中國青年救國團劍潭海外青年活動中心,23,0,23,0,0,0,0
士林區,機關,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路五段136巷1號5樓,121.511024,25.079240,臺北市立圖書館葫蘆堵分館,14,14,0,0,0,6,0
士林區,機關,士林區芝山岩區民活動中心,臺北市士林區雨聲街68號,121.528740,25.103598,臺北市士林區公所名山里辦公室,2,2,0,0,0,1,0
士林區,機關,士林分局,臺北市士林區文林路235號,121.525818,25.090867,臺北市政府警察局士林分局,3,0,3,0,0,1,0
士林區,機關,天母派出所,臺北市士林區中山北路七段192號,121.532891,25.124972,臺北市政府警察局 天母派出所,1,0,1,0,0,0,0
士林區,機關,芝山岩派出所,臺北市士林區仰德大道一段16號,121.537886,25.101122,臺北市政府警察局 芝山岩派出所,1,0,1,0,0,0,0
士林區,機關,後港派出所,臺北市士林區福港街151號,121.517986,25.087458,臺北市政府警察局 後港派出所,1,0,1,0,0,0,0
士林區,機關,溪山派出所,臺北市士林區至善路三段263號,121.584565,25.119766,臺北市政府警察局溪山派出所,1,0,1,0,0,0,0
士林區,機關,翠山派出所,臺北市士林區中社路一段56號,121.560269,25.108065,臺北市政府警察局 翠山派出所,1,0,1,0,0,0,0
